Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
84,Ansatsu Kyoushitsu,Shounen,Manga,Finished,21,https://cdn.myanimelist.net/images/manga/3/243932l.jpg
85,Magi,Shounen,Manga,Finished,37,https://cdn.myanimelist.net/images/manga/3/282487l.jpg
86,xxxHOLiC,Seinen,Manga,Finished,19,https://cdn.myanimelist.net/images/manga/3/217533l.jpg
87,Cardcaptor Sakura,Shoujo,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/3/259289l.jpg
88,Dengeki Daisy,Shoujo,Manga,Finished,16,https://cdn.myanimelist.net/images/manga/1/152369l.jpg
89,Gunnm,Seinen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/3/274715l.jpg
90,Shimanami Tasogare,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/2/174018l.jpg
91,Hellsing,Seinen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/3/267321l.jpg
92,Imawa no Kuni no Alice,Shounen,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/3/137237l.jpg
93,Blame!,Seinen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/1/174389l.jpg
94,Tongari Boushi no Atelier,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/190005l.jpg
95,Tomodachi Game,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/271631l.jpg
96,Kimi ni Todoke,Shoujo,Manga,Finished,30,https://cdn.myanimelist.net/images/manga/1/168283l.jpg
97,Beastars,Shounen,Manga,Finished,22,https://cdn.myanimelist.net/images/manga/2/189832l.jpg
98,Tsubasa: RESERVoir CHRoNiCLE,Shounen,Manga,Finished,28,https://cdn.myanimelist.net/images/manga/1/272410l.jpg
99,Fumetsu no Anata e,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/189781l.jpg
100,Aku no Hana,Shounen,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/2/188918l.jpg
101,Dr. Stone,Shounen,Manga,Finished,26,https://cdn.myanimelist.net/images/manga/1/197883l.jpg
102,Spirit Circle,Seinen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/2/161198l.jpg
103,Liar Game,Seinen,Manga,Finished,19,https://cdn.myanimelist.net/images/manga/2/149018l.jpg
104,Yakusoku no Neverland,Shounen,Manga,Finished,20,https://cdn.myanimelist.net/images/manga/3/186922l.jpg
105,Otoyomegatari,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/188950l.jpg
106,Lovely★Complex,Shoujo,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/1/209659l.jpg
107,Uzumaki,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/185972l.jpg
108,Solanin,Seinen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/179699l.jpg
